"Geography","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Lloydminster (CA), Alberta/Saskatchewan","24,777","25,339","26,064","26,720","27,380","28,087","29,142","29,909","30,737","31,418","32,114","33,257","34,582","35,527","35,688","35,729","35,727","36,113","36,421","36,473"
"Lloydminster (CA), Alberta part, Alberta","13,608","14,175","14,732","15,205","15,815","16,560","17,297","17,769","18,189","18,484","18,707","19,189","19,854","20,211","20,198","20,162","20,068","20,247","20,375","20,456"
"Lloydminster (CA), Saskatchewan part, Saskatchewan","11,169","11,164","11,332","11,515","11,565","11,527","11,845","12,140","12,548","12,934","13,407","14,068","14,728","15,316","15,490","15,567","15,659","15,866","16,046","16,017"
"Medicine Hat (CA), Alberta","63,363","64,610","65,779","67,396","69,305","71,224","72,900","74,095","74,889","75,040","75,249","76,139","76,951","77,570","78,162","78,380","78,573","78,962","79,124","79,450"
"Brooks (CA), Alberta","22,290","22,391","22,479","22,590","22,820","23,291","23,742","24,142","24,234","24,428","24,246","24,997","25,256","25,391","25,309","25,311","25,082","24,880","25,098","25,246"
"Okotoks (CA), Alberta","12,081","13,323","14,423","15,558","16,909","17,916","19,363","20,907","22,525","24,012","25,417","26,620","27,651","28,549","29,147","29,664","29,943","30,136","30,622","31,118"
"High River (CA), Alberta","9,611","9,950","10,215","10,494","10,876","11,081","11,458","11,993","12,466","12,895","13,320","13,777","13,869","13,618","13,806","13,972","14,133","14,140","14,152","14,178"
"Strathmore (CA), Alberta","7,933","8,474","8,964","9,403","9,952","10,694","11,260","11,662","12,086","12,442","12,732","13,015","13,443","13,757","13,930","14,086","14,055","14,123","14,206","14,279"
"Canmore (CA), Alberta","11,078","11,427","11,778","12,087","12,381","12,460","12,615","12,747","12,810","12,778","12,735","13,214","13,643","14,051","14,243","14,592","14,865","15,062","15,306","15,458"
"Red Deer (CA), Alberta","70,336","73,101","75,774","78,570","82,241","86,636","89,085","90,978","92,552","93,272","94,124","96,878","99,564","101,734","102,809","103,481","103,302","104,314","105,115","105,767"
